Date,aapl,csco,ibm,msft
2001-06-18,20.33,16.5,114.269997,66.879997
2001-06-19,20.19,16.639999,114.839996,67.32
2001-06-20,21.67,16.4,113.089996,69.410004
2001-06-21,22.490001,17.68,112.599998,69.839996
2001-06-22,22.26,17.52,112.870003,68.83000200000001
2001-06-25,23.99,18.51,112.650002,68.849998
2001-06-26,23.75,18.02,113.040001,70.139999
2001-06-27,23.34,17.93,113.519997,71.139999
2001-06-28,23.54,18.58,115.099998,72.739998
2001-06-29,23.25,18.200001,113.5,73.0
2001-07-02,23.9,19.219999,114.349998,70.599998
2001-07-03,23.84,19.190001,112.980003,70.470001
2001-07-05,23.19,17.58,112.099998,68.510002
2001-07-06,22.03,16.790001,106.5,66.059998
2001-07-09,22.700001,17.25,104.720001,65.690002
2001-07-10,21.14,16.200001,101.959999,64.480003
2001-07-11,22.54,16.700001,103.849998,66.5
2001-07-12,24.36,17.860001,107.25,71.599998
2001-07-13,24.85,18.74,108.529999,71.339996
2001-07-16,23.959999,17.709999,107.82,71.18
2001-07-17,25.1,17.790001,108.529999,71.82
2001-07-18,20.79,17.15,104.279999,70.57
2001-07-19,19.96,17.76,104.0,72.57
2001-07-20,19.98,17.99,105.699997,69.18
2001-07-23,19.54,18.27,105.849998,67.089996
2001-07-24,19.09,18.379999,104.510002,66.32
2001-07-25,18.470001,18.700001,104.889999,67.480003
2001-07-26,18.59,19.379999,106.0,66.589996
2001-07-27,18.96,19.059999,104.699997,65.470001
2001-07-30,18.929999,18.889999,105.849998,65.800003
2001-07-31,18.789999,19.219999,105.209999,66.190002
2001-08-01,19.060001,20.299999,107.059998,66.470001
2001-08-02,19.82,20.25,108.800003,67.449997
2001-08-03,19.500001,20.049999,108.18,66.889999
2001-08-06,19.130001,19.540001,106.510002,66.129997
2001-08-07,19.25,19.26,106.25,66.349998
2001-08-08,18.9,17.98,104.190002,64.860001
2001-08-09,19.05,18.290001,104.080002,65.010002
2001-08-10,19.02,18.33,104.949997,65.519997
2001-08-13,19.09,18.209999,105.860001,65.83000200000001
2001-08-14,18.73,17.65,106.199997,64.690002
2001-08-15,18.44,17.0,105.010002,63.200001
2001-08-16,18.65,17.48,105.75,64.620003
2001-08-17,18.07,16.610001,104.589996,61.880001
2001-08-20,18.119999,16.9,104.099998,62.700001
2001-08-21,17.92,16.01,101.889999,60.779999
2001-08-22,18.21,16.48,103.959999,60.66
2001-08-23,17.81,16.76,103.0,59.119999
2001-08-24,18.569999,18.25,106.989998,62.049999
2001-08-27,18.920001,18.01,106.860001,62.310001
2001-08-28,18.400001,17.09,104.949997,60.740002
2001-08-29,17.829999,17.08,104.129997,60.25
2001-08-30,17.829999,16.01,100.360001,56.939999
2001-08-31,18.550001,16.33,99.949997,57.049999
2001-09-04,18.25,15.77,101.489998,56.099998
2001-09-05,18.550001,14.88,100.349998,57.740002
2001-09-06,17.72,14.4,98.0,56.02
2001-09-07,17.28,14.36,96.589996,55.400002
2001-09-10,17.37,14.47,96.470001,57.580002
2001-09-17,16.99,14.0,93.339996,52.91
2001-09-18,16.28,13.57,96.400002,54.32
2001-09-19,17.020001,13.49,96.0,53.869999
2001-09-20,15.68,12.88,93.400002,50.759998
2001-09-21,15.73,12.09,90.5,49.709999
2001-09-24,16.449999,12.56,94.800003,52.009998
2001-09-25,15.54,12.6,94.449997,51.299999
2001-09-26,15.15,12.23,91.300003,50.27
2001-09-27,15.51,11.24,90.0,49.959999
2001-09-28,15.51,12.18,91.720001,51.169998
2001-10-01,15.54,11.9,92.709999,51.790001
2001-10-02,15.050001000000002,11.48,93.769997,53.049999
2001-10-03,14.980001,13.95,96.949997,56.23
2001-10-04,15.88,14.42,97.309998,56.439999
